Ligand,Binding Affinity,rmsd/ub, rmsd/lb
7bvq_ready_Acadesine_uff_E=542.27,-7.0,0.0,0.0
7bvq_ready_Acadesine_uff_E=542.27,-6.6,3.909,2.624
7bvq_ready_Acadesine_uff_E=542.27,-6.5,18.689,16.677
7bvq_ready_Acadesine_uff_E=542.27,-6.4,15.128,13.026
7bvq_ready_Acadesine_uff_E=542.27,-6.3,13.379,11.265
7bvq_ready_Acadesine_uff_E=542.27,-6.3,13.893,11.96
7bvq_ready_Acadesine_uff_E=542.27,-6.2,13.075,11.844
7bvq_ready_Acadesine_uff_E=542.27,-6.2,12.301,10.452
7bvq_ready_Acadesine_uff_E=542.27,-6.2,13.599,11.318
7bvq_ready_Adaprolol_uff_E=312.27,-7.0,0.0,0.0
7bvq_ready_Adaprolol_uff_E=312.27,-6.9,13.211,8.748
7bvq_ready_Adaprolol_uff_E=312.27,-6.9,25.276,21.863
7bvq_ready_Adaprolol_uff_E=312.27,-6.9,5.054,2.687
7bvq_ready_Adaprolol_uff_E=312.27,-6.9,25.586,22.007
7bvq_ready_Adaprolol_uff_E=312.27,-6.8,7.022,4.693
7bvq_ready_Adaprolol_uff_E=312.27,-6.7,12.87,8.164
7bvq_ready_Adaprolol_uff_E=312.27,-6.7,26.129,23.699
7bvq_ready_Adaprolol_uff_E=312.27,-6.6,25.757,21.838
7bvq_ready_Arotinolol_uff_E=598.80,-7.2,0.0,0.0
7bvq_ready_Arotinolol_uff_E=598.80,-6.7,14.532,12.866
7bvq_ready_Arotinolol_uff_E=598.80,-6.5,12.692,7.229
7bvq_ready_Arotinolol_uff_E=598.80,-6.4,11.93,7.164
7bvq_ready_Arotinolol_uff_E=598.80,-6.3,3.386,3.119
7bvq_ready_Arotinolol_uff_E=598.80,-6.2,14.615,12.987
7bvq_ready_Arotinolol_uff_E=598.80,-6.2,12.771,8.112
7bvq_ready_Arotinolol_uff_E=598.80,-6.0,12.3,5.854
7bvq_ready_Arotinolol_uff_E=598.80,-6.0,20.581,18.157
7bvq_ready_Celvudine_uff_E=282.60,-6.7,0.0,0.0
7bvq_ready_Celvudine_uff_E=282.60,-6.7,13.563,10.068
7bvq_ready_Celvudine_uff_E=282.60,-6.5,19.377,16.615
7bvq_ready_Celvudine_uff_E=282.60,-6.4,13.908,10.928
7bvq_ready_Celvudine_uff_E=282.60,-6.2,19.405,16.979
7bvq_ready_Celvudine_uff_E=282.60,-6.1,19.615,16.641
