Ligand,Binding Affinity,rmsd/ub, rmsd/lb
7bvq_ready_Acadesine_uff_E=542.27,-6.8,0.0,0.0
7bvq_ready_Acadesine_uff_E=542.27,-6.6,16.647,15.201
7bvq_ready_Acadesine_uff_E=542.27,-6.5,15.862,14.132
7bvq_ready_Acadesine_uff_E=542.27,-6.2,11.014,7.308
7bvq_ready_Acadesine_uff_E=542.27,-6.0,40.09,35.911
7bvq_ready_Acadesine_uff_E=542.27,-5.9,39.915,35.874
7bvq_ready_Acadesine_uff_E=542.27,-5.9,23.563,22.107
7bvq_ready_Acadesine_uff_E=542.27,-5.8,13.764,12.036
7bvq_ready_Acadesine_uff_E=542.27,-5.7,23.721,22.081
7bvq_ready_Adaprolol_uff_E=312.27,-6.1,0.0,0.0
7bvq_ready_Adaprolol_uff_E=312.27,-6.0,44.719,41.57
7bvq_ready_Adaprolol_uff_E=312.27,-5.9,26.473,23.885
7bvq_ready_Adaprolol_uff_E=312.27,-5.9,27.03,24.098
7bvq_ready_Adaprolol_uff_E=312.27,-5.9,45.224,42.044
7bvq_ready_Adaprolol_uff_E=312.27,-5.9,44.553,41.378
7bvq_ready_Adaprolol_uff_E=312.27,-5.7,27.279,24.253
7bvq_ready_Adaprolol_uff_E=312.27,-5.5,62.142,58.732
7bvq_ready_Adaprolol_uff_E=312.27,-5.5,26.489,24.01
7bvq_ready_Arotinolol_uff_E=598.80,-6.7,0.0,0.0
7bvq_ready_Arotinolol_uff_E=598.80,-6.4,15.724,12.421
7bvq_ready_Arotinolol_uff_E=598.80,-6.2,20.708,16.486
7bvq_ready_Arotinolol_uff_E=598.80,-6.0,16.498,15.056
7bvq_ready_Arotinolol_uff_E=598.80,-6.0,26.864,24.225
7bvq_ready_Arotinolol_uff_E=598.80,-5.9,25.903,23.849
7bvq_ready_Arotinolol_uff_E=598.80,-5.9,22.687,18.863
7bvq_ready_Arotinolol_uff_E=598.80,-5.8,26.239,24.205
7bvq_ready_Arotinolol_uff_E=598.80,-5.8,21.85,17.257
7bvq_ready_Celvudine_uff_E=282.60,-6.8,0.0,0.0
7bvq_ready_Celvudine_uff_E=282.60,-6.7,4.785,2.877
7bvq_ready_Celvudine_uff_E=282.60,-6.5,3.403,2.662
7bvq_ready_Celvudine_uff_E=282.60,-6.4,21.691,19.025
7bvq_ready_Celvudine_uff_E=282.60,-6.3,4.937,2.615
7bvq_ready_Celvudine_uff_E=282.60,-6.1,21.534,19.113
7bvq_ready_Celvudine_uff_E=282.60,-6.1,21.643,18.949
7bvq_ready_Celvudine_uff_E=282.60,-6.0,6.713,3.757
7bvq_ready_Celvudine_uff_E=282.60,-5.9,11.846,10.253
7bvq_ready_Lanabecestat_uff_E=644.26,-9.4,0.0,0.0
7bvq_ready_Lanabecestat_uff_E=644.26,-8.1,8.918,4.067
7bvq_ready_Lanabecestat_uff_E=644.26,-7.9,8.091,4.602
7bvq_ready_Lanabecestat_uff_E=644.26,-7.7,12.854,11.564
7bvq_ready_Lanabecestat_uff_E=644.26,-7.5,16.906,15.436
