Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3o96_prep_6781_uff_E=233.48,-6.9,0.0,0.0
3o96_prep_6781_uff_E=233.48,-6.9,4.225,1.77
3o96_prep_6781_uff_E=233.48,-6.8,3.185,1.675
3o96_prep_6781_uff_E=233.48,-6.7,4.9,2.533
3o96_prep_6781_uff_E=233.48,-6.6,4.453,2.497
3o96_prep_6781_uff_E=233.48,-6.4,4.901,2.398
3o96_prep_6781_uff_E=233.48,-6.2,7.377,4.84
3o96_prep_6781_uff_E=233.48,-6.1,6.756,5.048
3o96_prep_6781_uff_E=233.48,-6.1,7.13,3.862
3o96_prep_5280666_uff_E=324.01,-9.7,0.0,0.0
3o96_prep_5280666_uff_E=324.01,-9.5,2.061,0.941
3o96_prep_5280666_uff_E=324.01,-9.2,7.56,1.371
3o96_prep_5280666_uff_E=324.01,-9.2,6.524,2.832
3o96_prep_5280666_uff_E=324.01,-9.2,3.343,2.552
3o96_prep_5280666_uff_E=324.01,-9.0,4.406,2.631
3o96_prep_5280666_uff_E=324.01,-9.0,6.943,2.307
3o96_prep_5280666_uff_E=324.01,-9.0,3.877,1.995
3o96_prep_5280666_uff_E=324.01,-9.0,6.826,2.373
