Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4ivc_prep_4133_uff_E=86.76,-6.1,0.0,0.0
4ivc_prep_4133_uff_E=86.76,-6.0,57.013,55.096
4ivc_prep_4133_uff_E=86.76,-5.9,56.556,54.84
4ivc_prep_4133_uff_E=86.76,-5.9,55.906,54.0
4ivc_prep_4133_uff_E=86.76,-5.9,3.134,2.375
4ivc_prep_4133_uff_E=86.76,-5.9,2.485,1.549
4ivc_prep_4133_uff_E=86.76,-5.8,46.829,45.336
4ivc_prep_4133_uff_E=86.76,-5.8,55.652,53.807
4ivc_prep_4133_uff_E=86.76,-5.8,55.868,54.564
4ivc_prep_6781_uff_E=233.48,-5.2,0.0,0.0
4ivc_prep_6781_uff_E=233.48,-5.2,37.783,35.64
4ivc_prep_6781_uff_E=233.48,-5.1,39.034,36.893
4ivc_prep_6781_uff_E=233.48,-5.0,2.142,1.531
4ivc_prep_6781_uff_E=233.48,-5.0,70.881,68.357
4ivc_prep_6781_uff_E=233.48,-4.9,4.181,1.054
4ivc_prep_6781_uff_E=233.48,-4.7,44.54,42.132
4ivc_prep_6781_uff_E=233.48,-4.7,44.351,42.523
4ivc_prep_6781_uff_E=233.48,-4.6,45.533,44.053
4ivc_prep_74049_uff_E=87.59,-4.3,0.0,0.0
4ivc_prep_74049_uff_E=87.59,-4.2,2.21,1.048
4ivc_prep_74049_uff_E=87.59,-4.2,3.249,2.26
4ivc_prep_74049_uff_E=87.59,-4.2,56.324,55.084
4ivc_prep_74049_uff_E=87.59,-4.2,15.074,13.995
4ivc_prep_74049_uff_E=87.59,-4.1,2.224,1.69
4ivc_prep_74049_uff_E=87.59,-3.8,4.311,3.418
4ivc_prep_74049_uff_E=87.59,-3.8,53.873,52.89
4ivc_prep_74049_uff_E=87.59,-3.8,4.229,3.525
4ivc_prep_80252_uff_E=39.89,-3.7,0.0,0.0
4ivc_prep_80252_uff_E=39.89,-3.7,3.628,1.382
4ivc_prep_80252_uff_E=39.89,-3.7,2.766,2.145
4ivc_prep_80252_uff_E=39.89,-3.6,3.273,1.362
4ivc_prep_80252_uff_E=39.89,-3.4,47.998,47.558
4ivc_prep_80252_uff_E=39.89,-3.4,46.837,45.127
4ivc_prep_80252_uff_E=39.89,-3.4,14.174,13.43
4ivc_prep_80252_uff_E=39.89,-3.3,46.713,44.999
4ivc_prep_80252_uff_E=39.89,-3.3,12.03,11.368
