Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4ivc_prep_4133_uff_E=86.76,-6.1,0.0,0.0
4ivc_prep_4133_uff_E=86.76,-6.0,56.602,54.686
4ivc_prep_4133_uff_E=86.76,-5.9,56.562,54.827
4ivc_prep_4133_uff_E=86.76,-5.9,55.572,53.674
4ivc_prep_4133_uff_E=86.76,-5.9,3.116,2.352
4ivc_prep_4133_uff_E=86.76,-5.8,2.465,1.674
4ivc_prep_4133_uff_E=86.76,-5.8,46.818,45.335
4ivc_prep_4133_uff_E=86.76,-5.8,54.864,53.006
4ivc_prep_4133_uff_E=86.76,-5.7,14.441,12.845
4ivc_prep_6781_uff_E=233.48,-6.8,0.0,0.0
4ivc_prep_6781_uff_E=233.48,-6.7,4.686,0.172
4ivc_prep_6781_uff_E=233.48,-5.8,42.872,41.093
4ivc_prep_6781_uff_E=233.48,-5.6,28.732,25.219
4ivc_prep_6781_uff_E=233.48,-5.3,44.877,43.158
4ivc_prep_6781_uff_E=233.48,-5.2,25.223,23.571
4ivc_prep_6781_uff_E=233.48,-5.2,48.751,47.567
4ivc_prep_6781_uff_E=233.48,-5.2,4.925,1.503
4ivc_prep_6781_uff_E=233.48,-5.1,48.764,47.541
4ivc_prep_74049_uff_E=87.59,-4.2,0.0,0.0
4ivc_prep_74049_uff_E=87.59,-4.1,2.388,1.84
4ivc_prep_74049_uff_E=87.59,-4.1,53.504,52.135
4ivc_prep_74049_uff_E=87.59,-4.1,54.819,53.46
4ivc_prep_74049_uff_E=87.59,-4.0,53.67,52.479
4ivc_prep_74049_uff_E=87.59,-4.0,2.367,1.269
4ivc_prep_74049_uff_E=87.59,-4.0,53.932,52.57
4ivc_prep_74049_uff_E=87.59,-3.9,2.281,1.28
4ivc_prep_74049_uff_E=87.59,-3.7,51.967,51.197
4ivc_prep_80252_uff_E=39.89,-3.6,0.0,0.0
4ivc_prep_80252_uff_E=39.89,-3.6,51.751,50.666
4ivc_prep_80252_uff_E=39.89,-3.5,41.987,40.831
4ivc_prep_80252_uff_E=39.89,-3.5,34.375,33.229
4ivc_prep_80252_uff_E=39.89,-3.5,42.597,41.975
4ivc_prep_80252_uff_E=39.89,-3.4,20.661,20.04
4ivc_prep_80252_uff_E=39.89,-3.4,20.439,19.979
4ivc_prep_80252_uff_E=39.89,-3.4,19.799,19.309
4ivc_prep_80252_uff_E=39.89,-3.4,21.042,20.545
